method,workload,failure,repetition,response_time,reliability,service_availability,active_replica_count,network_transfer_volume,replication_transfer_volume,algorithm_decision_time
DPRS,W01,F0,rep-01,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,12260.064981999993
DPRS,W01,F0,rep-02,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,935229128704,12591.299049999396
DPRS,W01,F0,rep-03,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,926639194112,12738.592422999782
DPRS,W01,F0,rep-04,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,924491710464,12910.66590400066
DPRS,W01,F0,rep-05,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,935229128704,13033.40919499976
DPRS,W01,F0,rep-06,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,927712935936,13102.59150099937
DPRS,W01,F0,rep-07,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,930934161408,13128.064196000083
DPRS,W01,F0,rep-08,3.62924736511998,1.0,0.9835416666666669,488,5334349381632,924491710464,13186.989198999734
DPRS,W01,F0,rep-09,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,938450354176,13206.498472000032
DPRS,W01,F0,rep-10,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13248.620048998635
DPRS,W01,F0,rep-11,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,933081645056,13192.654244001125
DPRS,W01,F0,rep-12,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13139.323379002917
DPRS,W01,F0,rep-13,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,935229128704,13301.247670004841
DPRS,W01,F0,rep-14,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,924491710464,13123.378176001324
DPRS,W01,F0,rep-15,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,936302870528,13217.2244139972
DPRS,W01,F0,rep-16,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13397.634833997927
DPRS,W01,F0,rep-17,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13248.520389995292
DPRS,W01,F0,rep-18,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13347.026217992607
DPRS,W01,F0,rep-19,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13153.776531002677
DPRS,W01,F0,rep-20,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,936302870528,13456.977452002548
DPRS,W01,F0,rep-21,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,925565452288,13213.01199800655
DPRS,W01,F0,rep-22,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13320.06533900585
DPRS,W01,F0,rep-23,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,928786677760,13153.696809997655
DPRS,W01,F0,rep-24,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13147.663378998914
DPRS,W01,F0,rep-25,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13256.271964006373
DPRS,W01,F0,rep-26,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,932007903232,13234.109665000688
DPRS,W01,F0,rep-27,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13314.241607005897
DPRS,W01,F0,rep-28,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,927712935936,13383.922164001888
DPRS,W01,F0,rep-29,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13415.92778099357
DPRS,W01,F0,rep-30,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,936302870528,13173.857020011383
DPRS,W01,F1,rep-01,3.6260489852187026,0.9791666666666666,0.973125,490,5220532748288,932007903232,13408.855524001865
DPRS,W01,F1,rep-02,3.630618099363384,0.9791666666666666,0.973125,491,5223753973760,935229128704,13300.657606000186
DPRS,W01,F1,rep-03,3.582170014021994,0.9841666666666666,0.9727083333333337,489,5209795330048,926639194112,13014.608524988944
DPRS,W01,F1,rep-04,3.6306180993633834,0.9791666666666666,0.9314583333333334,489,5226975199232,924491710464,13314.433125997311
DPRS,W01,F1,rep-05,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,935229128704,13365.295501985202
DPRS,W01,F1,rep-06,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,927712935936,13058.626282006117
DPRS,W01,F1,rep-07,3.6297042765344476,0.9791666666666666,0.9731250000000002,490,5221606490112,930934161408,13324.451800011957
DPRS,W01,F1,rep-08,3.6306180993633834,0.9791666666666666,0.9314583333333334,488,5226975199232,924491710464,13367.889885001205
DPRS,W01,F1,rep-09,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,938450354176,13446.409638002478
DPRS,W01,F1,rep-10,3.6306180993633834,0.9791666666666666,0.9314583333333334,490,5226975199232,929860419584,13145.762392992765
DPRS,W01,F1,rep-11,3.630618099363384,0.9791666666666666,0.973125,490,5223753973760,933081645056,13158.374203014318
DPRS,W01,F1,rep-12,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13590.333071005261
DPRS,W01,F1,rep-13,3.62924736511998,1.0,0.9835416666666669,491,5334349381632,935229128704,13288.15485301675
DPRS,W01,F1,rep-14,3.5712397847470085,0.9816666666666667,0.9706250000000002,489,5186173009920,924491710464,13281.666645976657
DPRS,W01,F1,rep-15,3.6306180993633834,0.9791666666666666,0.9314583333333334,490,5226975199232,936302870528,13285.098709013255
DPRS,W01,F1,rep-16,3.6297042765344476,0.9791666666666666,0.9731250000000002,490,5221606490112,929860419584,13316.786967004191
DPRS,W01,F1,rep-17,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13327.319513988186
DPRS,W01,F1,rep-18,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13387.762339000801
DPRS,W01,F1,rep-19,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,929860419584,13043.329292976523
DPRS,W01,F1,rep-20,3.6297042765344476,0.9791666666666666,0.9731250000000002,491,5221606490112,936302870528,13388.250207975943
DPRS,W01,F1,rep-21,3.62924736511998,1.0,0.9835416666666669,489,5334349381632,925565452288,13034.706444008407
DPRS,W01,F1,rep-22,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13093.581935992916
DPRS,W01,F1,rep-23,3.6297042765344476,0.9791666666666666,0.9731250000000002,489,5221606490112,928786677760,13458.878173010817
DPRS,W01,F1,rep-24,3.6297042765344476,0.9791666666666666,0.9731250000000002,490,5221606490112,929860419584,13124.411866003356
DPRS,W01,F1,rep-25,3.630618099363384,0.9791666666666666,0.973125,490,5223753973760,929860419584,13519.190551000065
DPRS,W01,F1,rep-26,3.6260489852187026,0.9791666666666666,0.973125,489,5220532748288,932007903232,13491.340398022658
DPRS,W01,F1,rep-27,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13118.57337899437
DPRS,W01,F1,rep-28,3.5788345462623288,0.9783333333333334,0.9439583333333336,489,5180804300800,927712935936,13507.473097991351
DPRS,W01,F1,rep-29,3.62924736511998,1.0,0.9835416666666669,490,5334349381632,932007903232,13168.750483997428
DPRS,W01,F1,rep-30,3.5733320991699187,0.9758333333333333,0.942708333333334,491,5163624431616,936302870528,13132.263530999808
DPRS,W01,F2,rep-01,3.6449733248220877,0.965,0.9597916666666667,490,5155034497024,932007903232,13539.999918990361
